,id,alternate_issns,alternate_names,alternate_urls,issn,name,type,url
56,6d7a541c-8ec9-4130-ae7b-4bea36123460,[],['Hum'],[],1840-233X,Hum,,https://www.ceeol.com/search/journal-detail?id=750
57,6c501efe-9af8-4fb9-9fc9-055bae9e7338,[],['Int open j manag'],[],2330-0256,International open journal of management,journal,http://www.acascipub.com/International%20Open%20Journal%20of%20Management/International%20Open%20Journal%20of%20Management.php
58,43fb74cb-bf93-42c2-99ac-e6d90de6c6f0,['0166-0918'],"['Developments in soil science', 'Dev Soil Sci', 'Dev soil sci']",[],0166-2481,Developments in Soil Science,journal,
59,e3d10b43-d43a-425f-b1f0-7beb21d51d52,[],['Fly saucer'],[],0015-489X,Flying saucers,,
60,2ac59eb1-c2b5-49b1-b752-097ec4295529,[],['Bull Essex Inst'],[],0732-4952,Bulletin of the Essex Institute,,
61,d904fbb1-cffe-40e5-82cf-49f01d1ac2dc,[],['Am Chiropr Assoc ACA j chiropr'],[],0044-7609,American Chiropractic Association. The ACA journal of chiropractic,journal,
62,b8743c1c-4c13-4eb6-bd5d-74745cbc3ac8,[],['Henan Med Res'],[],1004-437X,Henan Medical Research,journal,
63,5b05be77-378c-4fa2-b955-8e171a198e07,[],['Silico Cell Tissue Sci'],[],2196-050X,In Silico Cell and Tissue Science,,http://www.in-silico-cell-and-tissue-science.com/
64,aea4275d-b465-4e30-9e8c-1f81b1a8a306,[],['Cross cult  strateg manag'],['http://www.emeraldinsight.com/journal/ccsm'],2059-5794,Cross cultural & strategic management,,https://www.emerald.com/insight/publication/issn/2059-5794
65,a57c1089-450a-4864-be6a-0d11bbe228eb,[],['Palaeontogr Am'],[],0078-8546,Palaeontographica Americana,,https://www.biodiversitylibrary.org/bibliography/10119
66,cc8f822c-5f32-4f9d-af48-3ca6eac1ece8,[],['Kervan Int J Afro-asiatic Stud'],"['https://www.ojs.unito.it/index.php/kervan/', 'https://www.ojs.unito.it/index.php/kervan/index']",1825-263X,Kervan. International Journal of Afro-Asiatic Studies,journal,http://www.kervan.unito.it/contents/archEN.html
67,5c531c51-2c01-4b2e-aa54-de170dc62dcc,[],"[""Meas Ireland's prog""]",[],1649-6728,Measuring Ireland's progress,,http://www.cso.ie/releasespublications/other_publications.htm
68,4212265a-2e9a-44ec-886b-8987d57f6b95,[],['J Inov Ilmu Sos dan Polit'],[],2656-1565,Jurnal Inovasi Ilmu Sosial dan Politik,,http://riset.unisma.ac.id/index.php/JISoP/index
69,c6a51bc1-8bfc-4aef-8c99-dabd961242fb,[],['Cad Let UFF'],[],1413-053X,Cadernos de Letras da UFF,,http://www.cadernosdeletras.uff.br/index.php/cadernosdeletras/index
70,8f5bec4b-1e12-4eb8-bc0d-f3a8005955d7,[],['Fuel Oil News'],[],0016-2396,Fuel Oil News,,
71,73102554-e91a-4091-9e52-4ed30abff07e,[],['Innov Econ Inf Anal Forecast'],[],2411-9520,"Innovative Economy: Information, Analytics, Forecasts",journal,
72,fe5df6ca-0710-4e3e-a953-2c79c842a0d9,[],['Int J Energy Power Eng'],['http://www.sciencepublishinggroup.com/journal/archive.aspx?issueid=1640101&journalid=164'],2326-957X,International Journal of Energy and Power Engineering,journal,http://www.sciencepublishinggroup.com/j/ijepe
